,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
1,1016304,MANHATTAN,10010,EAST   22 STREET,851,7501,WTI8783182050,2020,Y,40.740426,-73.988976,56.0,1008517501.0
3,1040000,MANHATTAN,10022,EAST   57 STREET,1350,11,WTI8478181168,2018,Y,40.758817,-73.964106,108.0,1013500011.0
7,1051247,MANHATTAN,10028,EAST   86 STREET,1582,31,WTI1690345365,2016,Y,40.775259,-73.94556,14401.0,1015820031.0
9,1017361,MANHATTAN,10016,PARK AVENUE,868,7502,WTI5052392272,2017,Y,40.750067,-73.979179,82.0,1008687502.0
10,4045971,QUEENS,11373,56 AVENUE,1857,38,WTI4263888329,2016,Y,40.736098,-73.871739,457.0,4018570038.0
12,1046830,MANHATTAN,10028,EAST   86 STREET,1497,9,WTI9307629272,2020,Y,40.7813,-73.959901,15001.0,1014970009.0
17,1034510,MANHATTAN,10119,AVENUE OF THE AMERICAS,1267,1,WTI3534365489,2018,Y,40.760857,-73.979717,104.0,1012670001.0
18,1014402,MANHATTAN,10122,WEST   34 STREET,784,19,WTI8704535650,2017,Y,40.751483,-73.991764,109.0,1007840019.0
20,1000021,MANHATTAN,10004,BATTERY PARK PLAZA,9,29,WTI7959087026,2020,Y,40.703218,-74.014412,9.0,1000090029.0
21,1036186,MANHATTAN,10017,PARK AVENUE,1300,14,WTI0322412771,2019,Y,40.753904,-73.975514,92.0,1013007501.0
22,1057091,MANHATTAN,10025,WEST END AVENUE,1888,7503,WTI4469500469,2020,Y,40.797684,-73.971446,187.0,1018887503.0
31,1083348,MANHATTAN,10038,BEEKMAN STREET,94,1,WTI8626728696,2020,Y,40.708439,-74.003704,1501.0,1000940001.0
32,1020567,MANHATTAN,10010,2 AVENUE,927,55,WTI9117014789,2020,Y,40.737124,-73.981449,64.0,1009270055.0
34,2092444,BRONX,10468,WEST MOSHOLU PARKWAY SOUTH,3251,490,WTI3275225634,2020,Y,40.880209,-73.885897,409.0,2032510490.0
36,1078979,MANHATTAN,10004,BROADWAY,22,17,WTI4742695419,2017,Y,40.706045,-74.013096,9.0,1000220017.0
38,1013585,MANHATTAN,10018,WEST   36 STREET,759,72,WTI9534822427,2018,Y,40.75417,-73.994167,111.0,1007590072.0
41,1077407,MANHATTAN,10038,PARK ROW,117,1,WTI7132203722,2018,Y,40.713141,-74.000115,27.0,1001170001.0
42,1087755,MANHATTAN,10038,WILLIAM STREET,68,7502,WTI3201475473,2019,Y,40.708184,-74.007787,1502.0,1000687502.0
45,1015649,MANHATTAN,10001,BROADWAY,828,33,WTI3936625686,2020,Y,40.743907,-73.988979,58.0,1008280033.0
47,1035255,MANHATTAN,10019,CENTRAL PARK SOUTH,1274,57,WTI6313040947,2017,Y,40.764959,-73.974579,11201.0,1012740057.0
51,1015291,MANHATTAN,10011,5 AVENUE,816,37,WTI3346387678,2020,Y,40.736354,-73.993379,54.0,1008160037.0
53,1057181,MANHATTAN,10025,WEST END AVENUE,1890,15,WTI1878933097,2017,Y,40.79927,-73.970293,191.0,1018900015.0
56,1022547,MANHATTAN,10016,1 AVENUE,969,1,WTI7618563470,2016,Y,40.745817,-73.972016,8601.0,1009690001.0
57,1015475,MANHATTAN,10011,5 AVENUE,821,38,WTI6170541510,2016,Y,40.739178,-73.991321,54.0,1008210038.0
59,1040805,MANHATTAN,10065,Park Ave,1375,36,WTI0512343414,2020,Y,40.763786,-73.969175,11401.0,1013750036.0
60,1083120,MANHATTAN,10016,EAST   30 STREET,936,7501,WTI6941638432,2020,Y,40.741734,-73.976403,70.0,1009367501.0
64,1041475,MANHATTAN,10021,EAST   73 STREET,1387,56,WTI6176524803,2020,Y,40.77259,-73.965261,130.0,1013870056.0
66,1081220,MANHATTAN,10065,EAST   67 STREET,1422,5,WTI6667902226,2017,Y,40.766397,-73.962524,118.0,1014220005.0
69,1079987,MANHATTAN,10033,CABRINI BOULEVARD,2179,10,WTI2401829030,2017,Y,40.853008,-73.939688,275.0,1021790010.0
71,1081419,MANHATTAN,10065,Park Ave,1403,1,WTI6877001684,2020,Y,40.768973,-73.965367,120.0,1014030001.0
72,1083800,MANHATTAN,10019,10 AVENUE,1079,29,WTI6167390871,2017,Y,40.765094,-73.991502,135.0,1010799029.0
76,1000580001,MANHATTAN,10007,Greenwich Street,58,1,WTI8392550911,2019,Y,40.71179,-74.012084,13.0,1000580001.0
78,1083026,MANHATTAN,10121,Pennsylvania Plaza,781,2,WTI3031008787,2020,Y,40.750017,-73.991345,101.0,1007810002.0
82,1016920,MANHATTAN,10016,MADISON AVENUE,858,58,WTI5040723268,2018,Y,40.744529,-73.985301,74.0,1008580058.0
84,1039990,MANHATTAN,10022,EAST   57 STREET,1349,41,WTI8318199638,2020,Y,40.758869,-73.964272,108.0,1013490041.0
89,1034244,MANHATTAN,10036,WEST   45 STREET,1261,19,WTI1867309419,2020,Y,40.75595,-73.980747,96.0,1012610019.0
94,1041292,MANHATTAN,10021,EAST   69 STREET,1384,10,WTI3171154721,2018,Y,40.770365,-73.96806,122.0,1013840010.0
95,1016920,MANHATTAN,10016,MADISON AVENUE,858,58,WTI3793001017,2017,Y,40.744529,-73.985301,74.0,1008580058.0
97,4541713,QUEENS,11109,CENTER BOULEVARD,21,20,WTI5942489646,2020,Y,40.748068,-73.95667,1.0,4000210020.0
98,1023166,MANHATTAN,10019,WEST   53 STREET,1006,7501,WTI1897810229,2017,Y,40.762713,-73.981261,131.0,1010067501.0
99,1030444,MANHATTAN,10023,WEST   71 STREET,1163,7501,WTI0766693595,2018,Y,40.778235,-73.982777,159.0,1011637501.0
103,3324663,BROOKLYN,11233,THOMAS S BOYLAND STREET,1434,1,WTI6435697812,2018,Y,40.675797,-73.913754,36501.0,3014340001.0
104,1046628,MANHATTAN,10028,PARK AVENUE,1492,37,WTI8567152348,2016,Y,40.776744,-73.959716,142.0,1014920037.0
105,1031371,MANHATTAN,10024,CENTRAL PARK WEST,1199,36,WTI6139850703,2017,Y,40.785074,-73.969508,169.0,1011990036.0
108,1017192,MANHATTAN,10016,EAST   37 STREET,867,9,WTI1219542740,2019,Y,40.750013,-73.982369,82.0,1008670009.0
113,1033612,MANHATTAN,10025,WEST   92 STREET,1240,24,WTI1349850964,2020,Y,40.791748,-73.972802,179.0,1012400024.0
115,1056548,MANHATTAN,10025,WEST  103 STREET,1874,52,WTI9115204407,2016,Y,40.799234,-73.968877,191.0,1018740052.0
118,1007832,MANHATTAN,10014,CHARLTON STREET,506,27,WTI9325086151,2018,Y,40.72698,-74.003763,37.0,1005060027.0
119,1038901,MANHATTAN,10017,EAST   46 STREET,1339,12,WTI6234976998,2019,Y,40.752011,-73.969462,90.0,1013390012.0
128,1081602,MANHATTAN,10027,WEST  125 STREET,1910,1,WTI9395778143,2016,Y,40.808644,-73.947524,222.0,1019100001.0
129,3196576,BROOKLYN,11224,WEST    5 STREET,7273,25,WTI9302184578,2019,Y,40.577628,-73.97253,354.0,3072730050.0
132,1020178,MANHATTAN,10016,EAST   35 STREET,916,1,WTI2170251397,2018,Y,40.746345,-73.977502,78.0,1009160001.0
135,1014472,MANHATTAN,10018,8 AVENUE,788,8,WTI0018673491,2018,Y,40.755015,-73.991395,113.0,1007880008.0
136,1056982,MANHATTAN,10025,WEST  112 STREET,1883,7502,WTI1689217812,2017,Y,40.804684,-73.963958,199.0,1018837502.0
138,1077855,MANHATTAN,10003,4 AVENUE,558,10,WTI5088666887,2017,Y,40.733213,-73.989926,42.0,1005580010.0
139,1041015,MANHATTAN,10065,5 AVENUE,1378,1,WTI4338301897,2019,Y,40.766946,-73.971044,122.0,1013780001.0
142,1016830013,MANHATTAN,10029,East 111th Street,1683,13,WTI5099516555,2019,Y,40.793459,-73.939233,180.0,1016830013.0
143,1034786,MANHATTAN,10019,WEST   54 STREET,1270,1,WTI8738414724,2019,Y,40.761872,-73.97733,104.0,1012700001.0
145,1087141,MANHATTAN,10036,WEST   43 STREET,1014,58,WTI4627247348,2020,Y,40.757477,-73.988294,119.0,1010140058.0
149,1024905,MANHATTAN,10019,WEST   58 STREET,1029,37,WTI4605717816,2019,Y,40.766352,-73.979932,137.0,1010290037.0
152,1012940033,MANHATTAN,10022,Park Avenue,1294,33,WTI0721298086,2019,Y,40.762485,-73.970125,11202.0,1012940033.0
153,3333397,BROOKLYN,11212,Sutter Avenue,3526,21,WTI0966666333,2020,Y,40.667437,-73.90821,906.0,3035260021.0
156,1030350,MANHATTAN,10023,WEST   70 STREET,1158,38,WTI4250690533,2018,Y,40.777557,-73.983221,155.0,1011580038.0
157,1081419,MANHATTAN,10065,Park Ave,1403,1,WTI0432755734,2020,Y,40.768973,-73.965367,120.0,1014030001.0
158,1014480,MANHATTAN,10018,WEST   38 STREET,788,37,WTI6283753855,2020,Y,40.753769,-73.98937,113.0,1007880037.0
160,1070766,MANHATTAN,10023,WEST END AVENUE,1179,7503,WTI7937949662,2019,Y,40.778573,-73.986377,155.0,1011797503.0
162,1033867,MANHATTAN,10024,WEST   85 STREET,1246,49,WTI8964669715,2018,Y,40.788653,-73.979452,171.0,1012460049.0
164,1080990,MANHATTAN,10036,West 47th Street,1094,45,WTI1782566153,2020,Y,40.764246,-73.996607,129.0,1010940045.0
166,1080094,MANHATTAN,10003,ASTOR PLACE,545,26,WTI0368600045,2018,Y,40.729972,-73.992196,57.0,1005450026.0
168,1034508,MANHATTAN,10020,5 AVENUE,1264,40,WTI4597278467,2016,Y,40.757824,-73.977732,96.0,1012640040.0
169,1030720,MANHATTAN,10023,WEST   74 STREET,1166,7,WTI6154526150,2019,Y,40.780776,-73.982664,163.0,1011660007.0
173,1080813,MANHATTAN,10027,RIVERSIDE DRIVE,1994,38,WTI7897670215,2018,Y,40.814556,-73.962475,211.0,1019940038.0
180,1001399,MANHATTAN,10007,PARK PLACE,124,4,WTI5150411434,2017,Y,40.712828,-74.008296,21.0,1001240004.0
182,1042473,MANHATTAN,10065,EAST   67 STREET,1402,33,WTI6056102813,2017,Y,40.766889,-73.96369,120.0,1014020033.0
184,1000850,MANHATTAN,10004,BEAVER STREET,29,73,WTI9077074288,2017,Y,40.705079,-74.010766,9.0,1000290073.0
188,1083992,MANHATTAN,10039,LENOX AVENUE,1744,1,WTI9115430645,2018,Y,40.820534,-73.936144,236.0,1017440001.0
190,3196576,BROOKLYN,11224,WEST    5 STREET,7273,25,WTI7753779329,2016,Y,40.577628,-73.97253,354.0,3072730050.0
192,1043259,MANHATTAN,10075,EAST   79 STREET,1413,57,WTI3617802581,2019,Y,40.77513,-73.95932,140.0,1014130057.0
193,1088460,MANHATTAN,10036,WEST   44 STREET,1034,37,WTI6501085787,2018,Y,40.758706,-73.989276,121.0,1010340037.0
200,1038000,MANHATTAN,10017,3 AVENUE,1322,1,WTI7209307287,2020,Y,40.75466,-73.971598,90.0,1013220001.0
201,1013590,MANHATTAN,10018,WEST   36 STREET,760,12,WTI0900136687,2018,Y,40.754063,-73.993875,111.0,1007600012.0
204,1014717,MANHATTAN,10011,WEST   18 STREET,794,25,WTI4525984650,2018,Y,40.740166,-73.995724,87.0,1007940025.0
206,3324663,BROOKLYN,11233,THOMAS S BOYLAND STREET,1434,1,WTI7628269962,2017,Y,40.675797,-73.913754,36501.0,3014340001.0
210,2015482,BRONX,10463,VAN CORTLANDT PARK SOUTH,3252,287,WTI6888916690,2018,Y,40.885015,-73.891625,281.0,2032520287.0
211,1027193,MANHATTAN,10023,BROADWAY,1113,47,WTI2353408393,2019,Y,40.769514,-73.982122,145.0,1011130047.0
213,1035058,MANHATTAN,10019,WEST   57 STREET,1272,66,WTI5982025839,2020,Y,40.763639,-73.97559,11201.0,1012720066.0
215,1046437,MANHATTAN,10075,EAST   79 STREET,1491,23,WTI2016799492,2020,Y,40.776204,-73.961829,142.0,1014910023.0
224,4115902,MANHATTAN,11355,FRANKLIN AVENUE,5137,55,WTI6237920030,2019,Y,40.75498,-73.82596,79701.0,4051370055.0
227,1072227,MANHATTAN,10021,East 70th Street,1425,7501,WTI0779288492,2020,Y,40.767947,-73.960379,126.0,1014257501.0
231,1039960,MANHATTAN,10022,EAST   55 STREET,1347,44,WTI8646162044,2018,Y,40.75778,-73.96572,108.0,1013470044.0
233,1034338,MANHATTAN,10036,5 AVENUE,1262,41,WTI3493281640,2019,Y,40.756509,-73.978686,96.0,1012620041.0
236,1046256,MANHATTAN,10021,EAST   70 STREET,1482,20,WTI0313225322,2020,Y,40.765211,-73.953886,124.0,1014820020.0
237,3054897,BROOKLYN,11205,WILLOUGHBY AVENUE,1905,120,WTI0182257195,2020,Y,40.692179,-73.96306,193.0,3019050120.0
244,1034486,MANHATTAN,10036,5 AVENUE,1263,41,WTI1755830178,2020,Y,40.757129,-73.978238,96.0,1012630041.0
245,1041534,MANHATTAN,10021,5 AVENUE,1388,7501,WTI5211244538,2018,Y,40.77323,-73.966456,130.0,1013887501.0
249,1036051,MANHATTAN,10022,EAST   57 STREET,1293,5,WTI1327655424,2019,Y,40.762843,-73.973655,11202.0,1012930005.0
250,1051221,MANHATTAN,10028,EAST END AVENUE,1581,30,WTI7008042293,2020,Y,40.773982,-73.945475,14401.0,1015810030.0
253,1016064,MANHATTAN,10003,UNION SQUARE,842,23,WTI7527069537,2019,Y,40.735453,-73.991549,52.0,1008420023.0
259,1031755,MANHATTAN,10024,WEST   79 STREET,1210,9,WTI8131617240,2018,Y,40.782617,-73.977042,165.0,1012100009.0
264,1015951,MANHATTAN,10018,WEST   37 STREET,838,72,WTI4020472771,2017,Y,40.750916,-73.984556,84.0,1008380072.0
266,1009140,MANHATTAN,10003,EAST   11 STREET,563,45,WTI7874554030,2018,Y,40.73289,-73.992311,61.0,1005630045.0
267,1020180,MANHATTAN,10016,EAST   35 STREET,916,9,WTI6632679979,2020,Y,40.746205,-73.977173,78.0,1009160009.0
268,1017914,MANHATTAN,10003,IRVING PLACE,875,19,WTI6039747466,2017,Y,40.737143,-73.986483,50.0,1008750019.0
271,1022688,MANHATTAN,10019,7th Avenue,1001,1,WTI7541889450,2020,Y,40.759974,-73.984067,125.0,1010010001.0
274,1013456,MANHATTAN,10011,WEST   23 STREET,747,28,WTI8450623039,2017,Y,40.745601,-73.999192,93.0,1007470028.0
275,3054897,BROOKLYN,11205,WILLOUGHBY AVENUE,1905,120,WTI1115489522,2020,Y,40.692179,-73.96306,193.0,3019050120.0
277,1022708,MANHATTAN,10019,East 50 STREET,1003,5,WTI8265575880,2016,Y,40.756329,-73.97194,100.0,1013050023.0
278,1037164,MANHATTAN,10022,PARK AVENUE,1313,4,WTI3573549669,2018,Y,40.762815,-73.969858,11203.0,1013130004.0
285,1041243,MANHATTAN,10065,5 AVENUE,1382,69,WTI7263946218,2017,Y,40.76947,-73.969205,122.0,1013820069.0
287,1037166,MANHATTAN,10022,EAST   58 STREET,1313,14,WTI7832102524,2016,Y,40.761703,-73.968862,11203.0,1013130014.0
288,1031399,MANHATTAN,10024,WEST   86 STREET,1200,5,WTI7413787458,2016,Y,40.786044,-73.971097,173.0,1012000005.0
289,1034243,MANHATTAN,10036,WEST   45 STREET,1261,16,WTI3678635078,2016,Y,40.756048,-73.980978,96.0,1012610016.0
292,1003215,MANHATTAN,10002,MONTGOMERY STREET,259,71,WTI0603286138,2018,Y,40.713053,-73.985045,202.0,1002590071.0
294,3338433,BROOKLYN,11206,Humboldt Street,3129,1,WTI3276770375,2020,Y,40.702194,-73.9406,489.0,3031290001.0
295,1016004,MANHATTAN,10018,5 AVENUE,840,42,WTI6340140583,2016,Y,40.751056,-73.982665,84.0,1008400042.0
297,2083471,BRONX,10463,Kappock Street,5744,48,WTI7569370026,2020,Y,40.882137,-73.919848,29301.0,2057440048.0
298,1006580,MANHATTAN,10003,EAST    5 STREET,460,1,WTI2428236445,2017,Y,40.727559,-73.990861,38.0,1004600001.0
301,1081243,MANHATTAN,10021,EAST   76 STREET,1470,33,WTI3825874327,2020,Y,40.770105,-73.95346,132.0,1014700033.0
306,1087978,MANHATTAN,10036,TIMES SQUARE,1013,7501,WTI2888818392,2019,Y,40.756898,-73.990023,113.0,1010137501.0
309,2000000,BRONX,10451,CONCOURSE VILLAGE EAST,2420,1,WTI0651524822,2019,Y,40.82357,-73.91955,173.0,2024200001.0
315,1044023,MANHATTAN,10021,EAST   74 STREET,1429,5,WTI3883631835,2018,Y,40.770889,-73.959207,134.0,1014290005.0
316,1063862,MANHATTAN,10040,AUDUBON AVENUE,2160,1,WTI2047194788,2016,Y,40.855189,-73.927612,277.0,1021600001.0
317,1014336,MANHATTAN,10001,WEST   30 STREET,780,7,WTI8759802945,2020,Y,40.749155,-73.994056,101.0,1007800007.0
322,1007214,MANHATTAN,10012,SPRING STREET,482,16,WTI9106676613,2017,Y,40.722506,-73.99763,45.0,1004820016.0
323,1015020,MANHATTAN,10001,WEST   26 STREET,801,51,WTI0740093264,2016,Y,40.745096,-73.992133,91.0,1008010051.0
324,3331100,BROOKLYN,11201,GOLD STREET,134,1,WTI8882651015,2020,Y,40.695003,-73.983249,15.0,3001340001.0
330,1024781,MANHATTAN,10019,WEST   49 STREET,1020,49,WTI3899207521,2018,Y,40.760987,-73.984987,125.0,1010200049.0
331,1036145,MANHATTAN,10017,LEXINGTON AVENUE,1295,17,WTI8215616368,2018,Y,40.750429,-73.9768,80.0,1012950017.0
332,1046924,MANHATTAN,10128,EAST   88 STREET,1499,65,WTI2890790492,2020,Y,40.782692,-73.959153,15002.0,1014990065.0
335,1032189,MANHATTAN,10024,WEST   86 STREET,1217,6,WTI3831198466,2019,Y,40.787323,-73.974133,173.0,1012170006.0
336,1031373,MANHATTAN,10024,WEST   86 STREET,1199,40,WTI7573347326,2016,Y,40.785626,-73.970154,169.0,1011990040.0
338,1014775,MANHATTAN,10011,WEST   22 STREET,797,54,WTI5024206322,2018,Y,40.742562,-73.994089,87.0,1007970054.0
340,1077591,MANHATTAN,10002,MONROE STREET,253,1,WTI6395271057,2018,Y,40.711522,-73.994939,8.0,1002530001.0
348,1038623,MANHATTAN,10022,3 AVENUE,1332,1,WTI8456876439,2016,Y,40.761167,-73.96679,108.0,1013320001.0
351,1082677,MANHATTAN,10003,EAST   10 STREET,562,1,WTI5546744786,2017,Y,40.732687,-73.993689,61.0,1005620001.0
356,1017903,MANHATTAN,10003,EAST   19 STREET,874,69,WTI8193780334,2019,Y,40.737267,-73.987074,50.0,1008740069.0
359,1076307,MANHATTAN,10065,EAST   65 STREET,1419,7502,WTI2693859146,2018,Y,40.765162,-73.963514,118.0,1014197502.0
361,3170043,BROOKLYN,11214,BAY PARKWAY,6471,90,WTI8719609137,2016,Y,40.596831,-73.999107,294.0,3064710090.0
369,1049916,MANHATTAN,10028,East 83rd Street,1546,1,WTI9545685198,2020,Y,40.775767,-73.952774,138.0,1015460001.0
371,1028817,MANHATTAN,10024,WEST   77 STREET,1129,39,WTI8386866152,2017,Y,40.779649,-73.974006,161.0,1011290039.0
373,1001622,MANHATTAN,10013,WORTH STREET,148,15,WTI5256936815,2017,Y,40.717363,-74.006897,33.0,1001480015.0
375,1072488,MANHATTAN,10065,EAST   65 STREET,1439,7501,WTI3860295659,2016,Y,40.764179,-73.96119,118.0,1014397501.0
377,1038562,MANHATTAN,10022,EAST   54 STREET,1327,7502,WTI6664989595,2018,Y,40.757835,-73.967792,98.0,1013277502.0
379,1036177,MANHATTAN,10017,3 AVENUE,1299,33,WTI6886184425,2020,Y,40.752328,-73.973324,92.0,1012990033.0
383,1073038,MANHATTAN,10028,EAST   82 STREET,1511,7501,WTI1309215801,2020,Y,40.777114,-73.957929,140.0,1015117501.0
385,1030262,MANHATTAN,10024,WEST   79 STREET,1150,48,WTI4251796368,2019,Y,40.782466,-73.976728,165.0,1011500048.0
389,1008730040,MANHATTAN,10003,East 18th Street,873,40,WTI0140217466,2019,Y,40.736199,-73.986353,50.0,1008730040.0
391,1015565,MANHATTAN,10010,5 AVENUE,824,42,WTI2037656068,2020,Y,40.741335,-73.989744,58.0,1008240042.0
394,1015853,MANHATTAN,10001,5 AVENUE,834,48,WTI0958860637,2018,Y,40.747521,-73.985239,76.0,1008340048.0
396,1018513,MANHATTAN,10016,EAST   34 STREET,889,68,WTI8422997484,2020,Y,40.746661,-73.98036,72.0,1008890068.0
400,4047313,QUEENS,11368,57 AVENUE,1918,45,WTI1271695203,2020,Y,40.736848,-73.865062,455.0,4019180045.0
404,1012267502,MANHATTAN,10025,W 95th St,1226,7502,WTI4144963761,2019,Y,40.793004,-73.969938,181.0,1012267502.0
407,1033993,MANHATTAN,10024,WEST   88 STREET,1249,54,WTI8220600008,2018,Y,40.790662,-73.97805,175.0,1012490054.0
411,1033860,MANHATTAN,10024,WEST   85 STREET,1246,39,WTI2258070192,2017,Y,40.788425,-73.978918,171.0,1012460039.0
416,1032176,MANHATTAN,10024,WEST   86 STREET,1216,140,WTI8205811389,2020,Y,40.786769,-73.972866,169.0,1012160140.0
420,1001408,MANHATTAN,10007,BROADWAY,124,24,WTI5769043125,2018,Y,40.712982,-74.007301,21.0,1001240024.0
423,1068261,MANHATTAN,10011,AVENUE OF THE AMERICAS,818,7501,WTI1843605428,2016,Y,40.739178,-73.9955,54.0,1008187501.0
425,1035455,MANHATTAN,10022,MADISON AVENUE,1285,21,WTI3910885498,2020,Y,40.757519,-73.975827,102.0,1012850021.0
433,1040043,MANHATTAN,10022,EAST   58 STREET,1351,17,WTI1626650433,2020,Y,40.75944,-73.963488,108.0,1013510017.0
437,1026058,MANHATTAN,10019,West 57th Street,1048,7501,WTI5569539447,2020,Y,40.767297,-73.984231,139.0,1010487501.0
438,1017001,MANHATTAN,10016,EAST   32 STREET,861,66,WTI5362034117,2018,Y,40.746744,-73.98455,74.0,1008610066.0
439,1015478,MANHATTAN,10011,5 AVENUE,821,41,WTI8772038216,2016,Y,40.739507,-73.99108,54.0,1008210041.0
442,1001621,MANHATTAN,10013,WEST BROADWAY,148,10,WTI8512284427,2016,Y,40.717242,-74.007853,33.0,1001480010.0
445,1018952,MANHATTAN,10016,LEXINGTON AVENUE,892,20,WTI8054141156,2018,Y,40.748105,-73.978494,80.0,1008920020.0
451,4301620,QUEENS,11691,SEAGIRT BOULEVARD,15810,25,WTI9955065825,2018,Y,40.595128,-73.753454,99802.0,4158100025.0
455,1021921,MANHATTAN,10016,EAST   38 STREET,944,1,WTI9057678549,2018,Y,40.74725,-73.97391,78.0,1009440001.0
457,2057725,BRONX,10467,BARNES AVENUE,4659,31,WTI5787051939,2017,Y,40.877177,-73.861649,380.0,2046590031.0
459,1008900,MANHATTAN,10011,Washington Place,552,68,WTI6627389894,2020,Y,40.731951,-73.999751,65.0,1005520068.0
460,1009516,MANHATTAN,10011,WEST   11 STREET,574,15,WTI6937751493,2016,Y,40.734764,-73.996807,63.0,1005740015.0
461,1043873,MANHATTAN,10065,EAST   66 STREET,1421,21,WTI4248824084,2019,Y,40.765063,-73.961474,118.0,1014210021.0
463,1014402,MANHATTAN,10122,WEST   34 STREET,784,19,WTI2529893714,2019,Y,40.751483,-73.991764,109.0,1007840019.0
464,1045818,MANHATTAN,10021,EAST   70 STREET,1465,21,WTI3827982064,2018,Y,40.766129,-73.956066,124.0,1014650021.0
473,1024921,MANHATTAN,10019,CENTRAL PARK SOUTH,1030,48,WTI5371351627,2017,Y,40.767236,-73.97996,137.0,1010300048.0
475,1057065,MANHATTAN,10025,RIVERSIDE DRIVE,1887,40,WTI1572840074,2016,Y,40.796741,-73.973887,183.0,1018870040.0
477,1008831,MANHATTAN,10003,BROADWAY,547,30,WTI8103366020,2017,Y,40.729231,-73.99357,57.0,1005470030.0
478,1087141,MANHATTAN,10036,WEST   43 STREET,1014,58,WTI9618931888,2016,Y,40.757477,-73.988294,119.0,1010140058.0
481,1041036,MANHATTAN,10065,Park Ave,1378,33,WTI4690632359,2020,Y,40.765636,-73.967824,122.0,1013780033.0
482,1057215,MANHATTAN,10025,WEST END AVENUE,1891,7502,WTI8022869399,2016,Y,40.800527,-73.969378,191.0,1018917502.0
485,1034253,MANHATTAN,10036,5 AVENUE,1261,41,WTI8783606664,2019,Y,40.756087,-73.979408,96.0,1012610041.0
491,2018271,BRONX,10467,WAYNE AVENUE,3344,52,WTI3606867758,2018,Y,40.881144,-73.877444,431.0,2033440052.0
495,1077855,MANHATTAN,10003,4 AVENUE,558,10,WTI6971919417,2019,Y,40.733213,-73.989926,42.0,1005580010.0
496,1036061,MANHATTAN,10022,MADISON AVENUE,1293,26,WTI9732663623,2020,Y,40.762384,-73.97228,11202.0,1012930026.0
504,1031010,MANHATTAN,10023,WEST   75 STREET,1184,87,WTI0992961844,2019,Y,40.781965,-73.983563,163.0,1011840087.0
508,3125490,BROOKLYN,11218,AVENUE C,5358,41,WTI9623594473,2020,Y,40.640981,-73.973091,494.0,3053580041.0
510,4050128,QUEENS,11374,QUEENS BOULEVARD,2075,7501,WTI7860313457,2018,Y,40.732399,-73.867651,71702.0,4020757501.0
511,1030903,MANHATTAN,10024,WEST END AVENUE,1170,7502,WTI9926240500,2018,Y,40.784064,-73.98136,167.0,1011707502.0
514,1000061,MANHATTAN,10280,RECTOR PLACE,16,7501,WTI5391721875,2017,Y,40.709506,-74.018002,31704.0,1000167501.0
515,1044897,MANHATTAN,10021,EAST   73 STREET,1448,1,WTI3750098093,2020,Y,40.769341,-73.957504,126.0,1014480001.0
527,1036083,MANHATTAN,10022,Park Avenue,1294,33,WTI5696585008,2020,Y,40.762485,-73.970125,11202.0,1012940033.0
531,3168773,BROOKLYN,11214,20 AVENUE,6441,1,WTI9595566281,2016,Y,40.600666,-74.002355,282.0,3064410001.0
534,1000021,MANHATTAN,10004,BATTERY PARK PLAZA,9,29,WTI1692695729,2019,Y,40.703218,-74.014412,9.0,1000090029.0
538,1009252,MANHATTAN,10003,5 AVENUE,568,6,WTI5954626144,2018,Y,40.733804,-73.99475,61.0,1005680006.0
542,1087239,MANHATTAN,10282,WEST STREET,16,260,WTI7016063042,2017,Y,40.713846,-74.013812,31703.0,1000160260.0
548,1014776,MANHATTAN,10011,WEST   22 STREET,797,7502,WTI3369732474,2017,Y,40.742631,-73.994251,87.0,1007977502.0
549,1048799,MANHATTAN,10128,EAST   87 STREET,1532,22,WTI9603918993,2017,Y,40.779011,-73.95236,14602.0,1015320022.0
552,1027193,MANHATTAN,10023,BROADWAY,1113,47,WTI7066238443,2018,Y,40.769514,-73.982122,145.0,1011130047.0
553,2092070,BRONX,10453,SEDGWICK AVENUE,2881,84,WTI8307028149,2020,Y,40.853212,-73.918082,247.0,2028810084.0
555,1083734,MANHATTAN,10019,WEST   57 STREET,1047,7501,WTI8074350824,2017,Y,40.767231,-73.984119,139.0,1010477501.0
557,1009799,MANHATTAN,10014,MORTON STREET,583,29,WTI5649938118,2018,Y,40.730941,-74.004799,67.0,1005830029.0
565,1008838,MANHATTAN,10003,WAVERLY PLACE,548,40,WTI1611793925,2018,Y,40.730041,-73.994173,59.0,1005480040.0
569,2054716,BRONX,10467,BRONX PARK EAST,4543,1,WTI5321698784,2017,Y,40.869949,-73.87053,336.0,2045430001.0
570,1083235,MANHATTAN,10013,HARRISON STREET,142,25,WTI9967678838,2020,Y,40.718866,-74.010844,39.0,1001420025.0
571,1008818,MANHATTAN,10003,BROADWAY,546,35,WTI5899916432,2019,Y,40.728745,-73.993985,57.0,1005460035.0
572,1049931,MANHATTAN,10028,EAST   83 STREET,1546,23,WTI0657777233,2020,Y,40.775412,-73.951929,138.0,1015460023.0
573,1023157,MANHATTAN,10019,7 AVENUE,1004,20,WTI1597032239,2016,Y,40.761955,-73.982622,131.0,1010040020.0
