,BIN,BOROUGH,ZIP,STREET_NAME,BLOCK,LOT,CONFIRMATION_NUM,REPORTING_YEAR,MEET_STANDARDS,LATITUDE,LONGITUDE,CENSUS_TRACT,BBL
24599,1031371,MANHATTAN,10024,CENTRAL PARK WEST,1199,36,WTI0974549136,2020,Y,40.785074,-73.969508,169.0,1011990036.0
24605,1041660,MANHATTAN,10021,PARK AVENUE,1389,38,WTI0708545648,2019,Y,40.772913,-73.962517,130.0,1013890038.0
24606,1018040,MANHATTAN,10010,EAST   23 STREET,879,17,WTI7817160835,2020,Y,40.739644,-73.985039,68.0,1008790017.0
24611,1019089,MANHATTAN,10016,LEXINGTON AVENUE,893,20,WTI5129294506,2020,Y,40.748785,-73.977999,80.0,1008930020.0
24613,1056034,MANHATTAN,10025,CATHEDRAL PARKWAY,1864,39,WTI2012043951,2016,Y,40.80207,-73.961738,193.0,1018640039.0
24615,4047319,QUEENS,11368,57 AVENUE,1918,65,WTI3822936826,2017,Y,40.737458,-73.863022,455.0,4019180065.0
24616,1088431,MANHATTAN,10013,SPRING STREET,491,7503,WTI0219487277,2016,Y,40.725616,-74.005253,37.0,1004917503.0
24620,1046836,MANHATTAN,10028,EAST   86 STREET,1497,44,WTI4144003378,2019,Y,40.780558,-73.958125,15001.0,1014970044.0
24621,1033956,MANHATTAN,10024,RIVERSIDE DRIVE,1249,1,WTI6110030131,2018,Y,40.790706,-73.979784,175.0,1012490001.0
24623,1026797,MANHATTAN,10019,WEST   55 STREET,1064,36,WTI8710882383,2020,Y,40.76679,-73.987094,139.0,1010640036.0
24639,1015512,MANHATTAN,10010,WEST   21 STREET,822,70,WTI8213035669,2017,Y,40.740976,-73.992223,54.0,1008220070.0
24643,1062545,MANHATTAN,10032,EDGECOMBE AVENUE,2109,34,WTI6160150534,2016,Y,40.833633,-73.938755,24301.0,1021090034.0
24646,2093860,BRONX,10475,Elgar Place,5135,51,WTI0622099399,2020,Y,40.863772,-73.821858,302.0,2051350051.0
24651,1015261,MANHATTAN,10018,Broadway,813,50,WTI6789520083,2020,Y,40.752577,-73.987378,109.0,1008130050.0
24654,1030359,MANHATTAN,10023,WEST END AVENUE,1162,1,WTI9717025913,2019,Y,40.778778,-73.985214,159.0,1011620001.0
24659,1030720,MANHATTAN,10023,WEST   74 STREET,1166,7,WTI3537214194,2020,Y,40.780776,-73.982664,163.0,1011660007.0
24661,1031465,MANHATTAN,10024,CENTRAL PARK WEST,1201,34,WTI1068249436,2020,Y,40.786419,-73.968529,173.0,1012010034.0
24665,2084027,BRONX,10463,WALDO AVENUE,5777,772,WTI9397373699,2017,Y,40.887136,-73.904077,285.0,2057770772.0
